iso3c,country_name,taxa,feed_category,tonnes
ISR,Israel,catfish,oil,884.0044858842165
BEN,Benin,tilapia,soy,1503.2352947278819
BEN,Benin,tilapia,grain,1738.8659101719186
BEN,Benin,tilapia,oil,802.5534970024241
TWN,Taiwan,trout,soy,152.19309021061991
TWN,Taiwan,trout,grain,1589.8957566931485
TWN,Taiwan,trout,oil,0
AUT,Austria,trout,soy,148.22387803130138
AUT,Austria,trout,grain,1548.4311041745616
AUT,Austria,trout,oil,0
POL,Poland,catfish,soy,1453.6874787124925
POL,Poland,catfish,grain,1412.4879980769892
POL,Poland,catfish,oil,819.0758805416859
RUS,Russia,tilapia,soy,1433.0153734768742
RUS,Russia,tilapia,grain,1657.639087127934
RUS,Russia,tilapia,oil,765.0641940590466
IRN,Iran,tilapia,soy,1418.9236943125784
IRN,Iran,tilapia,grain,1641.3385514753902
IRN,Iran,tilapia,oil,757.5408699117186
BGR,Bulgaria,hypoph_carp,soy,191.29265364473855
BGR,Bulgaria,hypoph_carp,grain,1530.9428012129301
BGR,Bulgaria,hypoph_carp,oil,0
LAO,Laos,catfish,soy,1352.5190535099487
LAO,Laos,catfish,grain,1314.1868236667187
LAO,Laos,catfish,oil,762.0728326588071
KOR,South Korea,oth_carp,soy,915.4666657751292
KOR,South Korea,oth_carp,grain,723.0932240666401
KOR,South Korea,oth_carp,oil,2336.1473392922226
NPL,Nepal,catfish,soy,1298.4182913695506
NPL,Nepal,catfish,grain,1261.61935072005
NPL,Nepal,catfish,oil,731.5899193524549
UKR,Ukraine,catfish,soy,1250.5932176374388
UKR,Ukraine,catfish,grain,1215.149704635195
UKR,Ukraine,catfish,oil,704.6430239896395
HRV,Croatia,oth_carp,soy,836.1060374935895
HRV,Croatia,oth_carp,grain,660.409202120888
HRV,Croatia,oth_carp,oil,2133.629729929023
FIN,Finland,trout,soy,114.85347225368483
FIN,Finland,trout,grain,1199.8248272960407
FIN,Finland,trout,oil,0
ROU,Romania,trout,soy,114.10428468976303
ROU,Romania,trout,grain,1191.998387033883
ROU,Romania,trout,oil,0
BRA,Brazil,trout,soy,112.47105580041347
BRA,Brazil,trout,grain,1174.9367472623799
BRA,Brazil,trout,oil,0
ARG,Argentina,catfish,soy,1091.1041708475457
ARG,Argentina,catfish,grain,1060.1807943884155
ARG,Argentina,catfish,oil,614.779395562513
TZA,Tanzania,catfish,soy,1082.0152428079589
TZA,Tanzania,catfish,grain,1051.349458933375
TZA,Tanzania,catfish,oil,609.6582661270457
GRC,Greece,trout,soy,109.15086508214806
GRC,Greece,trout,grain,1140.252142809728
GRC,Greece,trout,oil,0
TWN,Taiwan,oth_carp,soy,733.0734621495302
TWN,Taiwan,oth_carp,grain,579.0275856462526
TWN,Taiwan,oth_carp,oil,1870.7045074725088
DEU,Germany,catfish,soy,1040.8986635812564
DEU,Germany,catfish,grain,1011.3981794939067
DEU,Germany,catfish,oil,586.4912520142179
MDG,Madagascar,tilapia,soy,1018.936801110637
MDG,Madagascar,tilapia,grain,1178.6541164147186
MDG,Madagascar,tilapia,oil,543.9942075760241
MOZ,Mozambique,tilapia,soy,994.5473564032014
MOZ,Mozambique,tilapia,grain,1150.4416508622387
MOZ,Mozambique,tilapia,oil,530.9730696287255
BOL,Bolivia,catfish,soy,990.0439471692822
BOL,Bolivia,catfish,grain,961.9847549240382
BOL,Bolivia,catfish,oil,557.8373135062469
LSO,Lesotho,trout,soy,98.79396447320687
LSO,Lesotho,trout,grain,1032.0580565482526
LSO,Lesotho,trout,oil,0
BEN,Benin,catfish,soy,950.0634839475283
BEN,Benin,catfish,grain,923.13739241645
BEN,Benin,catfish,oil,535.3104405728526
CUB,Cuba,oth_carp,soy,653.2019285357059
CUB,Cuba,oth_carp,grain,515.9400184948412
CUB,Cuba,oth_carp,oil,1666.8831366756406
NZL,New Zealand,trout,soy,90.89044731535033
NZL,New Zealand,trout,grain,949.4934120243925
NZL,New Zealand,trout,oil,0
BOL,Bolivia,trout,soy,90.56113410043965
BOL,Bolivia,trout,grain,946.053218502565
BOL,Bolivia,trout,oil,0
MYS,Malaysia,hypoph_carp,soy,121.98725842648797
MYS,Malaysia,hypoph_carp,grain,976.2816897013116
MYS,Malaysia,hypoph_carp,oil,0
DZA,Algeria,oth_carp,soy,609.6561424957104
DZA,Algeria,oth_carp,grain,481.544814388184
DZA,Algeria,oth_carp,oil,1555.7601695618255
KEN,Kenya,catfish,soy,868.8582399747909
KEN,Kenya,catfish,grain,844.2336155235002
KEN,Kenya,catfish,oil,489.5555877000178
ARM,Armenia,oth_carp,soy,586.5950111415667
ARM,Armenia,oth_carp,grain,463.32968057184456
ARM,Armenia,oth_carp,oil,1496.9112756936518
ITA,Italy,catfish,soy,818.0035235628169
